Author_id,Name,Fname,Lname
A4305,Mary Jane Maffini,Mary,Maffini
A4306,Judith Arnold,Judith,Arnold
A4307,Barbara Keiler,Barbara,Keiler
A4308,Christopher Paul Curtis,Christopher,Curtis
A4309,Karin Fossum,Karin,Fossum
A4310,Joseph Garcia,Joseph,Garcia
A4311,Burton White,Burton,White
A4312,Yitta Halberstam,Yitta,Halberstam
A4313,Judith Leventhal,Judith,Leventhal
A4314,Bernie S. Siegel,,
A4315,Matt Ridley,Matt,Ridley
A4316,Thomas K. Landauer,,
A4317,Syed Hussein Alatas,Syed,Alatas
A4318,Jennifer Worick,Jennifer,Worick
A4319,Kerry Colburn,Kerry,Colburn
A4320,Anne Higgins,Anne,Higgins
A4321,Millie Stamm,Millie,Stamm
A4322,Susan Ostrov Weisser,Susan,Weisser
A4323,Millie Criswell,Millie,Criswell
A4324,Heather Mcnamara,Heather,Mcnamara
A4325,Lois Keith,Lois,Keith
A4326,E.d. Hirsch Jr.,,
A4327,Mark Fuhrman,Mark,Fuhrman
A4328,N Collins,N,Collins
A4329,Alan Titchmarsh,Alan,Titchmarsh
A4330,Milligan,Milligan,
A4331,Stephen Fry,Stephen,Fry
A4332,Jonathan Miller,Jonathan,Miller
A4333,Dawna Walter,Dawna,Walter
A4334,Mark Franks,Mark,Franks
A4335,Betty Bethards,Betty,Bethards
A4336,Jaclyn Grace,Jaclyn,Grace
A4337,James V. Hart,,
A4338,Alan Aldrich,Alan,Aldrich
A4339,D H Lawrence,D,Lawrence
A4340,Fiona Walker,Fiona,Walker
A4341,Lance Armstrong,Lance,Armstrong
A4342,Sally Jenkins,Sally,Jenkins
A4343,Pam Young,Pam,Young
A4344,Peggy Jones,Peggy,Jones
A4345,Sena Jeter Naslund,Sena,Naslund
A4346,Roy Blount Jr.,,
A4347,Edward Abbey,Edward,Abbey
A4348,Redmond O'Hanlon,Redmond,O'Hanlon
A4349,Evan Harris,Evan,Harris
A4350,Shang Chun Shu Cun,Shang,Cun
A4351,Matthew Bunson,Matthew,Bunson
A4352,Page Bryant,Page,Bryant
A4353,Dennis Wholey,Dennis,Wholey
A4354,Jerome Charyn,Jerome,Charyn
A4355,Barry Sears,Barry,Sears
A4356,Bill Lawren,Bill,Lawren
A4357,Christian De La Huerta,Christian,Huerta
A4358,Matthew Fox,Matthew,Fox
A4359,Jim Morrison,Jim,Morrison
A4360,Christine Wiltz,Christine,Wiltz
A4361,Michael Thomas Ford,Michael,Ford
A4362,Tommy Tune,Tommy,Tune
A4363,Stuart Smalley,Stuart,Smalley
A4364,Martin,Martin,
A4365,Ken Sprague,Ken,Sprague
A4366,Elan Golomb,Elan,Golomb
A4367,Alice A. Bailey,,
A4368,Susan Forward,Susan,Forward
A4369,Jim Davis,Jim,Davis
A4370,Anne Fine,Anne,Fine
A4371,Jean Booker,Jean,Booker
A4372,Alice Mary Connally Fisk,Alice,Fisk
A4373,Michael Pollan,Michael,Pollan
A4374,Phyllis Richman,Phyllis,Richman
A4375,Valerie Wolzien,Valerie,Wolzien
A4376,Bobbie Hinman,Bobbie,Hinman
A4377,Millie Snyder,Millie,Snyder
A4378,Beverly West,Beverly,West
A4379,Nancy Peske,Nancy,Peske
A4380,Jean Ure,Jean,Ure
A4381,Karin Yapalater,Karin,Yapalater
A4382,Nancy Star,Nancy,Star
A4383,Joanna Carl,Joanna,Carl
A4384,Laura Van Wormer,Laura,Wormer
A4385,Ginna Gray,Ginna,Gray
A4386,Helen R Myers,Helen,Myers
A4387,Maira Kalman,Maira,Kalman
A4388,Tibor Kalman,Tibor,Kalman
A4389,Steven Heller,Steven,Heller
A4390,Frank O. Braynard,,
A4391,Todd Strasser,Todd,Strasser
A4392,Pamela E. Apkarian-russell,,
A4393,Michael Wallis,Michael,Wallis
A4394,Suzanne Wallis,Suzanne,Wallis
A4395,Alex Kotlowitz,Alex,Kotlowitz
A4396,Michael Savage,Michael,Savage
A4397,Candice Bergen,Candice,Bergen
A4398,George Mair,George,Mair
A4399,G. Garfield Crimmins,,
A4400,Ann Linnea,Ann,Linnea
A4401,Barbara Sher,Barbara,Sher
A4402,Barbara Smith,Barbara,Smith
A4403,Fritz Eichenberg,Fritz,Eichenberg
A4404,Phoebe Mcphee,Phoebe,Mcphee
A4405,Stephen Fuentes,Stephen,Fuentes
A4406,Melanie Munnell,Melanie,Munnell
A4407,Wilson Rawls,Wilson,Rawls
A4408,Margaret Peterson Haddix,Margaret,Haddix
A4409,Willo Davis Roberts,Willo,Roberts
A4410,Barry Denenberg,Barry,Denenberg
A4411,Gary A. Lippincott,,
A4412,Tom Brokaw,Tom,Brokaw
A4413,J. Lawler,,
A4414,Fred Mustard Stewart,Fred,Stewart
A4415,Phil Mcgraw,Phil,Mcgraw
A4416,C. M. Woodhouse,,
A4417,Rudolfo Anaya,Rudolfo,Anaya
A4418,Anne Barone,Anne,Barone
A4419,V. C. Andrews,,
A4420,John Forbes,John,Forbes
A4421,Kay Allenbaugh,Kay,Allenbaugh
A4422,Sonja Massie,Sonja,Massie
A4423,Susan Campbell Bartoletti,Susan,Bartoletti
A4424,Jeffrey D. Greene,,
A4425,Stuart Friedman,Stuart,Friedman
A4426,Joe Kraynak,Joe,Kraynak
A4427,Cassandra King,Cassandra,King
A4428,Jodi Picoult,Jodi,Picoult
A4429,Stephen L. Carter,,
A4430,Anchee Min,Anchee,Min
A4431,Jillian Medoff,Jillian,Medoff
A4432,Lisa Gornick,Lisa,Gornick
A4433,Betsy Carter,Betsy,Carter
A4434,Kyle Mills,Kyle,Mills
A4435,Martin J. Smith,,
A4436,Thomas French,Thomas,French
A4437,Nancy Taylor Rosenberg,Nancy,Rosenberg
A4438,Shelby Yastrow,Shelby,Yastrow
A4439,Stanley Pottinger,Stanley,Pottinger
A4440,Amanda Ashley,Amanda,Ashley
A4441,David Wiltse,David,Wiltse
A4442,Sonia Icilyn,Sonia,Icilyn
A4443,Mccoy Judi,Mccoy,Judi
A4444,Charlaine Harris,Charlaine,Harris
A4445,Suzanne Forster,Suzanne,Forster
A4446,Alton Gansky,Alton,Gansky
A4447,Philip Kerr,Philip,Kerr
A4448,Stef Ann Holm,Stef,Holm
A4449,Julian Symons,Julian,Symons
A4450,Gardens Books,Gardens,Books
A4451,Linda Hallam,Linda,Hallam
A4452,Swami Prabhavananda,Swami,Prabhavananda
A4453,Frederick Manchester,Frederick,Manchester
A4454,G,G,
A4455,R Publishing,R,Publishing
A4456,Claire Folkard,Claire,Folkard
A4457,Abby Kanter,Abby,Kanter
A4458,Raymond Pierson,Raymond,Pierson
A4459,Phil Gross,Phil,Gross
A4460,Mike Gross,Mike,Gross
A4461,Nilo Cruz,Nilo,Cruz
A4462,Reed Arvin,Reed,Arvin
A4463,David Rosenfelt,David,Rosenfelt
A4464,Giles Blunt,Giles,Blunt
A4465,Stephen Frey,Stephen,Frey
A4466,Austin Clarke,Austin,Clarke
A4467,Sue Henry,Sue,Henry
A4468,James W. Hall,,
A4469,Virginia Lanier,Virginia,Lanier
A4470,James Grippando,James,Grippando
A4471,Stephen J. Cannell,,
A4472,Stephen Cannell,Stephen,Cannell
A4473,Shane,Shane,
A4474,Sheridan,Sheridan,
A4475,Jim. Screenplay Based On The B,,
A4476,Hugh Cook,Hugh,Cook
A4477,Alien Stevens,Alien,Stevens
A4478,John J. Nance,,
A4479,Matthew Reilly,Matthew,Reilly
A4480,William Kent Krueger,William,Krueger
A4481,Michael Macdonald Mooney,Michael,Mooney
A4482,Allen Drury,Allen,Drury
A4483,Michael Darkow,Michael,Darkow
A4484,Maria Elena Morgan,Maria,Morgan
A4485,Murray Bail,Murray,Bail
A4486,Jim Karas,Jim,Karas
A4487,Gay Hendricks,Gay,Hendricks
A4488,Marilyn Vos Savant,Marilyn,Savant
A4489,Curl,Curl,
A4490,Martin V. Riccardo,,
A4491,Jana Marcus,Jana,Marcus
A4492,Katherine Ramsland,Katherine,Ramsland
A4493,Ruth Maran,Ruth,Maran
A4494,Gail Tsukiyama,Gail,Tsukiyama
A4495,Jeanne Kalogridis,Jeanne,Kalogridis
A4496,Andrew X. Pham,,
A4497,Catharina Day,Catharina,Day
A4498,Malika Oufkir,Malika,Oufkir
A4499,Michele Fitoussi,Michele,Fitoussi
A4500,Ros Schwartz,Ros,Schwartz
A4501,Mckay Jenkins,Mckay,Jenkins
A4502,Patricia Wynn,Patricia,Wynn
A4503,William Cohen,William,Cohen
A4504,Theresa Foy Digeronimo,Theresa,Digeronimo
A4505,Michael Alexander,Michael,Alexander
A4506,Kjersti Hoff Baez,Kjersti,Baez
A4507,Ray Grigg,Ray,Grigg
A4508,Peter Albano,Peter,Albano
A4509,Rod R. Butterworth,,
A4510,Mickey Flodin,Mickey,Flodin
A4511,Andrea Boeshaar,Andrea,Boeshaar
A4512,Jane Orcutt,Jane,Orcutt
A4513,Ashley Mcconnell,Ashley,Mcconnell
A4514,Margaret,Margaret,
A4515,Williams,Williams,
A4516,Michael,Michael,
A4517,Hickman,Hickman,
A4518,Tracy,Tracy,
A4519,Copyr,Copyr,
A4520,R.a. Salvatore,,
A4521,Lucretius,Lucretius,
A4522,Ronald E. Latham,,
A4523,John Godwin,John,Godwin
A4524,Horace,Horace,
A4525,W. G. Shepherd,,
A4526,Peter Mansfield,Peter,Mansfield
A4527,Paul Halpern,Paul,Halpern
A4528,James Lowder,James,Lowder
A4529,John Keegan,John,Keegan
A4530,G. Lee Bowie,,
A4531,Robert C. Solomon,,
A4532,Meredith W. Michael,,
A4533,Bill Pogue,Bill,Pogue
A4534,Rachel Bell,Rachel,Bell
A4535,Howard Peiper,Howard,Peiper
A4536,David Norbrook,David,Norbrook
A4537,H. R. Woudhuysen,,
A4538,Alice Notley,Alice,Notley
A4539,L. E. Modesitt Jr.,,
A4540,Rosemary Edmonds,Rosemary,Edmonds
A4541,Gerard Del Re,Gerard,Re
A4542,Patricia Del Re,Patricia,Re
A4543,Taisha Abelar,Taisha,Abelar
A4544,Carlos Casteneda,Carlos,Casteneda
A4545,Michele Jamal,Michele,Jamal
A4546,Duong Thu Huong,Duong,Huong
A4547,Phan Huy Duong,Phan,Duong
A4548,Nina Mcpherson,Nina,Mcpherson
A4549,Emrys Jones,Emrys,Jones
A4550,Michael Tanner,Michael,Tanner
A4551,John T. Lawrence,,
A4552,Frederick Busch,Frederick,Busch
A4553,Ian Kellam,Ian,Kellam
A4554,Nien Cheng,Nien,Cheng
A4555,Annie Dillard,Annie,Dillard
A4556,Ann Hood,Ann,Hood
A4557,P J O'Rourke,P,O'Rourke
A4558,Antonio Skarmeta,Antonio,Skarmeta
A4559,Katherine Silver,Katherine,Silver
A4560,Pat Barker,Pat,Barker
A4561,Martina Devlin,Martina,Devlin
A4562,Sandra Felton,Sandra,Felton
A4563,Rose Marie Nichols Mcgee,Rose,Mcgee
A4564,Maggie Stuckey,Maggie,Stuckey
A4565,Linda Yang,Linda,Yang
A4566,Alice Borchardt,Alice,Borchardt
A4567,Marcelle Karp,Marcelle,Karp
A4568,Debbie Stoller,Debbie,Stoller
A4569,Inga Muscio,Inga,Muscio
A4570,Caroline G. Mercer,,
A4571,Kylie Adams,Kylie,Adams
A4572,Sherryl Woods,Sherryl,Woods
A4573,Christie Ridgway,Christie,Ridgway
A4574,Patricia Cabot,Patricia,Cabot
A4575,Donna Gillespie,Donna,Gillespie
A4576,Beverly Brandt,Beverly,Brandt
A4577,Lori Schiller,Lori,Schiller
A4578,Amanda Bennett,Amanda,Bennett
A4579,John Milton,John,Milton
A4580,Christopher Ricks,Christopher,Ricks
A4581,Upton Sinclair,Upton,Sinclair
A4582,Morris Dickstein,Morris,Dickstein
A4583,Matthew J. Bruccoli,,
A4584,Edmund Wilson,Edmund,Wilson
A4585,Harold M. Silverman,,
A4586,Henry Blackaby,Henry,Blackaby
A4587,Richard Blackaby,Richard,Blackaby
A4588,Silver Ravenwolf,Silver,Ravenwolf
A4589,Merlin Stone,Merlin,Stone
A4590,Matthew Ward,Matthew,Ward
A4591,Christopher Hammond,Christopher,Hammond
A4592,John Hawkes,John,Hawkes
A4593,Lindsay Faith Rech,Lindsay,Rech
A4594,Steffie Hall,Steffie,Hall
A4595,Elizabeth Young,Elizabeth,Young
A4596,Paul Rogat Loeb,Paul,Loeb
A4597,Alex Kava,Alex,Kava
A4598,Alan Lightman,Alan,Lightman
A4599,Josephine Tey,Josephine,Tey
A4600,Todd Komarnicki,Todd,Komarnicki
A4601,Tina Wainscott,Tina,Wainscott
A4602,Stephen Wright,Stephen,Wright
A4603,Joanne M. Dochterman Phd Rn Faan,,
A4604,Gloria M. Bulec,,
A4605,Elizabeth Jolley,Elizabeth,Jolley
A4606,D. C. Brod,,
A4607,John R. Riggs,,
A4608,Gerald Petievich,Gerald,Petievich
A4609,Charlotte Macleod,Charlotte,Macleod
A4610,Jonathan Havard,Jonathan,Havard
A4611,Neil Shulman,Neil,Shulman
A4612,Nei Shulman,Nei,Shulman
A4613,Peter Bebrandt,Peter,Bebrandt
A4614,Joseph Wambaugh,Joseph,Wambaugh
A4615,Ed Greenwood,Ed,Greenwood
A4616,Ursula Leguin,Ursula,Leguin
A4617,Richard Hescox,Richard,Hescox
A4618,Kirk Douglas,Kirk,Douglas
A4619,Glenn Dakin,Glenn,Dakin
A4620,Jeffrey Robinson,Jeffrey,Robinson
A4621,Pierre Barbéris,Pierre,Barbéris
A4622,Richard Bohringer,Richard,Bohringer
A4623,Andreï Kourkov,Andreï,Kourkov
A4624,Nathalie Amargier,Nathalie,Amargier
A4625,Christine Angot,Christine,Angot
A4626,Zoé Valdés,Zoé,Valdés
A4627,Djian,Djian,
A4628,W,W,
A4629,M Hoffer,M,Hoffer
A4630,Vitaliano Brancati,Vitaliano,Brancati
A4631,Patrick Creagh,Patrick,Creagh
A4632,Patrick Suskind,Patrick,Suskind
A4633,Susan Hubbard,Susan,Hubbard
A4634,Thomas Noguchi,Thomas,Noguchi
A4635,A. Lyons,,
A4636,Andrea Camilleri,Andrea,Camilleri
A4637,Stephen Sartarelli,Stephen,Sartarelli
A4638,Patrick Mccabe,Patrick,Mccabe
A4639,J.p. Carasso,,
A4640,Alan Vanneman,Alan,Vanneman
A4641,Jean Hager,Jean,Hager
A4642,Odo Hirsch,Odo,Hirsch
A4643,Glen Cook,Glen,Cook
A4644,Jonathan Barry,Jonathan,Barry
A4645,Jim Silke,Jim,Silke
A4646,Rebecca Bradley,Rebecca,Bradley
A4647,Terry Mcgarry,Terry,Mcgarry
A4648,Mindy L. Klasky,,
A4649,Nancy Mckenzie,Nancy,Mckenzie
A4650,Karin Lowachee,Karin,Lowachee
A4651,K.w. Jeter,,
A4652,Vivian Schilling,Vivian,Schilling
A4653,W. Steven Brown,,
A4654,Sharon Schulze,Sharon,Schulze
A4655,Stanley Smith,Stanley,Smith
A4656,Tom Bullimore,Tom,Bullimore
A4657,Derrick Niederman,Derrick,Niederman
A4658,Hy C,Hy,C
A4659,Elizabeth Mcgregor,Elizabeth,Mcgregor
A4660,Ron Koertge,Ron,Koertge
A4661,Miguelanxo Prado,Miguelanxo,Prado
A4662,Margaret Sayers Pe,Margaret,Pe
A4663,David Calder,David,Calder
A4664,Stieg Retlin,Stieg,Retlin
A4665,Pam Munoz Ryan,Pam,Ryan
A4666,Gerald L. Holmes,,
A4667,Tasha Tudor,Tasha,Tudor
A4668,Dean Hughes,Dean,Hughes
A4669,Janet Quin-harkin,Janet,Quin-harkin
A4670,Jane Harrington,Jane,Harrington
A4671,Joan Aiken,Joan,Aiken
A4672,Pat Marriott,Pat,Marriott
A4673,Robert C. O'Brien,,
A4674,Zena Bernstein,Zena,Bernstein
A4675,Nick West,Nick,West
A4676,Colleen O'Shaughnessy Mckenna,Colleen,Mckenna
A4677,Katherine Coville,Katherine,Coville
A4678,James Fenimore Cooper,James,Cooper
A4679,Irene Hunt,Irene,Hunt
A4680,Felice Holman,Felice,Holman
A4681,Paul O. Zelinsky,,
A4682,Lisa Norby,Lisa,Norby
A4683,Fernado Fernandez,Fernado,Fernandez
A4684,Rick North,Rick,North
A4685,Mildred D. Taylor,,
A4686,Robin Lawrie,Robin,Lawrie
A4687,Leo,Leo,
A4688,Diane Dillon,Diane,Dillon
A4689,Katherine Neville,Katherine,Neville
A4690,Monica Hughes,Monica,Hughes
A4691,Cameron Dokey,Cameron,Dokey
A4692,Ellen Reymes,Ellen,Reymes
A4693,Deborah Gregory,Deborah,Gregory
A4694,Eliza Willard,Eliza,Willard
A4695,Andrew Matthews,Andrew,Matthews
A4696,Girling,Girling,
A4697,Otto M. Frank,,
A4698,Mirjam Pressler,Mirjam,Pressler
A4699,Susan Mas,Susan,Mas
A4700,Stedman Graham,Stedman,Graham
A4701,Michel Houellebecq,Michel,Houellebecq
A4702,Frank Wynne,Frank,Wynne
A4703,Deborah Morgan,Deborah,Morgan
A4704,Daniel W. Patterson,,
A4705,Jean Ritchie,Jean,Ritchie
A4706,Matt Groening,Matt,Groening
A4707,Josie Lloyd,Josie,Lloyd
A4708,Emlyn Rees,Emlyn,Rees
A4709,Germaine Greer,Germaine,Greer
A4710,Henry Root,Henry,Root
A4711,Paul M. Angle,,
A4712,Florence Scovel-shinn,Florence,Scovel-shinn
A4713,Terry Alford,Terry,Alford
A4714,Diana Culbertson,Diana,Culbertson
A4715,Tim Wynne-jones,Tim,Wynne-jones
A4716,Brian Doyle,Brian,Doyle
A4717,Karleen Bradford,Karleen,Bradford
A4718,Martha Brooks,Martha,Brooks
A4719,Diane Schoemperlen,Diane,Schoemperlen
A4720,Christina Schwarz,Christina,Schwarz
A4721,Molly Jong-fast,Molly,Jong-fast
A4722,Shirley Jackson,Shirley,Jackson
A4723,Rosemary Sutcliff,Rosemary,Sutcliff
A4724,Julie Reece Deaver,Julie,Deaver
A4725,Marilyn Butler,Marilyn,Butler
A4726,Andre Norton,Andre,Norton
A4727,Jacqueline Park,Jacqueline,Park
A4728,Lindsey Davis,Lindsey,Davis
A4729,Peter Tremayne,Peter,Tremayne
A4730,Anne Eliot Crompton,Anne,Crompton
A4731,Marcus Stone,Marcus,Stone
A4732,John Bowen,John,Bowen
A4733,Jules Watson,Jules,Watson
A4734,Harris,Harris,
A4735,Angela Doherty,Angela,Doherty
A4736,Nicholas Guild,Nicholas,Guild
A4737,Kim Lewis,Kim,Lewis
A4738,Frank Mcdonald,Frank,Mcdonald
A4739,Dell Shannon,Dell,Shannon
A4740,Rachel Billington,Rachel,Billington
A4741,Iain Finlay,Iain,Finlay
A4742,B. Wilson,,
A4743,Ashland Price,Ashland,Price
A4744,Rosemary Edghill,Rosemary,Edghill
A4745,Emma Blair,Emma,Blair
A4746,Matthew Kneale,Matthew,Kneale
A4747,Marian Thurm,Marian,Thurm
A4748,John Peterman,John,Peterman
A4749,Cynthia Borris,Cynthia,Borris
A4750,Martin Waddell,Martin,Waddell
A4751,Patrick Benson,Patrick,Benson
A4752,Ole Risom,Ole,Risom
A4753,Sandra Boynton,Sandra,Boynton
A4754,P.d. Eastman,,
A4755,David Icke,David,Icke
A4756,Rex Gibson,Rex,Gibson
A4757,N. Kantaris,,
A4758,P.r.m. Oliver,,
A4759,Dave Stern,Dave,Stern
A4760,Marge Piercy,Marge,Piercy
A4761,Craig Nova,Craig,Nova
A4762,Mark Le Fanu,Mark,Fanu
A4763,Ulrich Holbein,Ulrich,Holbein
A4764,Mark Childress,Mark,Childress
A4765,Rudolf Hermstein,Rudolf,Hermstein
A4766,Gemma Alexander,Gemma,Alexander
A4767,Patricia Lewin,Patricia,Lewin
A4768,Marti Leimbach,Marti,Leimbach
A4769,Romain Gary (émile Ajar),Romain,Ajar)
A4770,Donald J. Sobol,,
A4771,Ted Enik,Ted,Enik
A4772,Sushil Jajodia,Sushil,Jajodia
A4773,V. S. Subrahmanian,,
A4774,Steve Cunningham,Steve,Cunningham
A4775,Judson Rosebush,Judson,Rosebush
A4776,Donnie O'Quinn,Donnie,O'Quinn
A4777,Stephen Cosgrove,Stephen,Cosgrove
A4778,Jesse Liberty,Jesse,Liberty
A4779,Mark Cashman,Mark,Cashman
A4780,Christa Krüger,Christa,Krüger
A4781,Doris Dörrie,Doris,Dörrie
A4782,Fanny Morweiser,Fanny,Morweiser
A4783,Colum Mccann,Colum,Mccann
A4784,Donna W. Cross,,
A4785,Wolfgang Neuhaus,Wolfgang,Neuhaus
A4786,Jan Mehlum,Jan,Mehlum
A4787,Jessica Andersen,Jessica,Andersen
A4788,Leonard Wolf,Leonard,Wolf
A4789,A. N. Roquelaure,,
A4790,Barbara Hambly,Barbara,Hambly
A4791,Prosper Mérimée,Prosper,Mérimée
A4792,Dietrich Schwanitz,Dietrich,Schwanitz
A4793,Cora Stephan,Cora,Stephan
A4794,Gregor Sander,Gregor,Sander
A4795,André Gide,André,Gide
A4796,Raimund Theis,Raimund,Theis
A4797,Christine Stemmermann,Christine,Stemmermann
A4798,Pierre Joffroy,Pierre,Joffroy
A4799,Ulrich Kunzmann,Ulrich,Kunzmann
A4800,Stefan Zweig,Stefan,Zweig
A4801,Friederike Mayröcker,Friederike,Mayröcker
A4802,Alejo Carpentier,Alejo,Carpentier
A4803,Anneliese Botond,Anneliese,Botond
A4804,Willy Breinholst,Willy,Breinholst
A4805,Alan Durband,Alan,Durband
A4806,Jean-jacques Sempe,Jean-jacques,Sempe
A4807,Deborah Moggach,Deborah,Moggach
A4808,Shulamit Lapid,Shulamit,Lapid
A4809,Christopher Dolley,Christopher,Dolley
A4810,Elinor Lipman,Elinor,Lipman
A4811,Lucius Shepard,Lucius,Shepard
A4812,J. K. Potter,,
A4813,Robert Kelley,Robert,Kelley
A4814,Walter Pruncel,Walter,Pruncel
A4815,Klaus Müller,Klaus,Müller
A4816,Roberto Calasso,Roberto,Calasso
A4817,Peter Fitzsimons,Peter,Fitzsimons
A4818,Zecharia Sitchin,Zecharia,Sitchin
A4819,Penthouse International,Penthouse,International
A4820,Louise Voss,Louise,Voss
A4821,Meredith Ann Pierce,Meredith,Pierce
A4822,Kathryn M. Drennan,,
A4823,W.s. Merwin,,
A4824,Phil Hirsch,Phil,Hirsch
A4825,Brian Buniak,Brian,Buniak
A4826,Deborah Scott,Deborah,Scott
A4827,David Poyer,David,Poyer
A4828,Barbara Seuling,Barbara,Seuling
A4829,Rebecca O'Connell,Rebecca,O'Connell
A4830,Hilary Jenkins,Hilary,Jenkins
A4831,Glen Grant,Glen,Grant
A4832,Harry Crews,Harry,Crews
A4833,Mike Miller,Mike,Miller
A4834,Jan Brett,Jan,Brett
A4835,Jerry W. Ward,,
A4836,Tenaya Darlington,Tenaya,Darlington
A4837,Douglas Pagels,Douglas,Pagels
A4838,Patricia Wayant,Patricia,Wayant
A4839,Gary D. Chapman,,
A4840,Larry Burkett,Larry,Burkett
A4841,The Editors Of People Magazine,The,Magazine
A4842,The Editors Of Peop,The,Peop
A4843,The Editors Of Entertainment Weekly,The,Weekly
A4844,The Editors Of,The,Of
A4845,Joe Stahlkuppe,Joe,Stahlkuppe
A4846,Stormie Omartian,Stormie,Omartian
A4847,Rita Dove,Rita,Dove
A4848,Jewel,Jewel,
A4849,Nikki Giovanni,Nikki,Giovanni
A4850,Tony Medina,Tony,Medina
A4851,Louis Reyes Rivera,Louis,Rivera
A4852,Sonia Sanchez,Sonia,Sanchez
A4853,David Lehman,David,Lehman
A4854,Diana Barron,Diana,Barron
A4855,Kirby Record,Kirby,Record
A4856,Steven Ferry,Steven,Ferry
A4857,Tanya Petrovna,Tanya,Petrovna
A4858,Jean Krueger,Jean,Krueger
A4859,Joel Brouwer,Joel,Brouwer
A4860,Donald W. Hayward,,
A4861,Jeannette Eyerly,Jeannette,Eyerly
A4862,Bill Buchanan,Bill,Buchanan
A4863,Kandy Radzinski,Kandy,Radzinski
A4864,Jim Shepard,Jim,Shepard
A4865,George C. Williams,,
A4866,A. R. Braunmuller,,
A4867,Stephen Or,Stephen,Or
A4868,Joel Spring,Joel,Spring
A4869,Rene Chartrand,Rene,Chartrand
A4870,Patrice Courcelle,Patrice,Courcelle
A4871,Bill Younghusband,Bill,Younghusband
A4872,Philip Haythornthwaite,Philip,Haythornthwaite
A4873,Bryan Fosten,Bryan,Fosten
A4874,Richard Holmes,Richard,Holmes
A4875,George Guidall,George,Guidall
A4876,Dave Marinaccio,Dave,Marinaccio
A4877,Ralph Steadman,Ralph,Steadman
A4878,Allison Pollack Alexander,Allison,Alexander
A4879,Jill Henry,Jill,Henry
A4880,Nancy Block,Nancy,Block
A4881,Janet Leigh,Janet,Leigh
A4882,Rachelle Nelson,Rachelle,Nelson
A4883,Charles R. Swindoll,,
A4884,Steve Shagan,Steve,Shagan
A4885,Alex Beam,Alex,Beam
A4886,Chris Kenry,Chris,Kenry
A4887,G.g. Marquez,,
A4888,Charlotte Bingham,Charlotte,Bingham
A4889,Don Peppers,Don,Peppers
A4890,Martha Rogers,Martha,Rogers
A4891,Michael Beres,Michael,Beres
A4892,Kay,Kay,
A4893,Mary Kay Simmons,Mary,Simmons
A4894,Kathryn Lynn Davis,Kathryn,Davis
A4895,P D James,P,James
A4896,Marsha Boulton,Marsha,Boulton
A4897,Bill H. Gates,,
A4898,Bryan Cholfin,Bryan,Cholfin
A4899,Edith Pargeter,Edith,Pargeter
A4900,Katharine Kerr,Katharine,Kerr
A4901,Hugh Sebag-montefiore,Hugh,Sebag-montefiore
A4902,Michael Lee West,Michael,West
A4903,Richard Evans,Richard,Evans
A4904,Rosie Rushton,Rosie,Rushton
A4905,Dermot Bolger,Dermot,Bolger
A4906,Pamela Stephenson,Pamela,Stephenson
A4907,Ingrid Weaver,Ingrid,Weaver
A4908,Richard N. Bolles,,
A4909,Gwen Gotsch,Gwen,Gotsch
A4910,Judy Torgus,Judy,Torgus
A4911,William Sears,William,Sears
A4912,Martha Sears,Martha,Sears
A4913,Vicki Iovine,Vicki,Iovine
A4914,T. Berry Brazelton,,
A4915,American College Of Obstetricians,American,Obstetricians
A4916,Gynecologist,Gynecologist,
A4917,Marvin S. Eiger,,
A4918,Sally Wendkos Olds,Sally,Olds
A4919,Wendy Wray,Wendy,Wray
A4920,Roe,Roe,
A4921,Leslie Dunkling,Leslie,Dunkling
A4922,Robin Norwood,Robin,Norwood
A4923,Christina Baker Kline,Christina,Kline
A4924,Gale Pryor,Gale,Pryor
A4925,Kate White,Kate,White
A4926,Jan Guillou,Jan,Guillou
A4927,Lieselotte Kolanoske,Lieselotte,Kolanoske
A4928,Michel Faber,Michel,Faber
A4929,Shelomoh Di-nur,Shelomoh,Di-nur
A4930,Philip Simpson,Philip,Simpson
A4931,Tony Earley,Tony,Earley
A4932,J. P. Donleavy,,
A4933,James Patrick Donleavy,James,Donleavy
A4934,Elliot Banfi,Elliot,Banfi
A4935,Stuart David,Stuart,David
A4936,Gay Courter,Gay,Courter
A4937,James R. Kincaid,,
A4938,Beryl Bainbridge,Beryl,Bainbridge
A4939,Kirsten Bakis,Kirsten,Bakis
A4940,Bellow,Bellow,
A4941,David Almond,David,Almond
A4942,Chinua Achebe,Chinua,Achebe
A4943,Cheryl Ann Costa,Cheryl,Costa
A4944,Sage,Sage,
A4945,Manjusha Pawagi,Manjusha,Pawagi
A4946,Leanne Franson,Leanne,Franson
A4947,Thomas E. O'Hara,,
A4948,Stephen Sondheim,Stephen,Sondheim
A4949,James Lapine,James,Lapine
A4950,Jim Currie,Jim,Currie
A4951,Lauren Slater,Lauren,Slater
A4952,John M. Gottman,,
A4953,Joan Declaire,Joan,Declaire
A4954,Frederick Lenz,Frederick,Lenz
A4955,Scott S. Smith,,
A4956,Erika Lopez,Erika,Lopez
A4957,Cynthia Macgregor,Cynthia,Macgregor
A4958,Gary Mechler,Gary,Mechler
A4959,Steven P. Shelov M.d.,,
A4960,Vicki Lansky,Vicki,Lansky
